# 1guu-1 graph .dat

param Kdim := 3;
24 33 4.75352 1
24 34 3.96177 1
24 35 4.80237 1
25 26 1.44067 1
25 27 2.45708 1
25 28 2.79253 1
25 29 4.1906 1
25 30 4.67384 1
25 31 4.30428 1
25 34 4.69528 1
26 27 1.51596 1
26 28 2.40896 1
26 29 3.7876 1
26 30 4.38125 1
26 31 4.38261 1
26 34 4.47566 1
26 35 4.91386 1
27 28 1.31892 1
27 29 2.42323 1
27 30 3.01412 1
27 31 3.32157 1
27 32 4.46833 1
27 33 4.43901 1
27 34 3.76836 1
27 35 4.35876 1
27 36 4.78865 1
27 37 4.09069 1
28 29 1.46181 1
28 30 2.45351 1
28 31 2.80087 1
28 32 4.17761 1
28 33 4.57452 1
28 34 4.22357 1
28 37 4.77435 1
29 30 1.50817 1
29 31 2.39068 1
29 32 3.74571 1
29 33 4.26444 1
29 34 4.29862 1
29 37 4.52422 1
30 31 1.31077 1
30 32 2.38514 1
30 33 2.88862 1
30 34 3.21554 1
30 35 4.35108 1
30 36 4.47372 1
30 37 3.78282 1
30 38 4.55549 1
30 39 4.92489 1
30 40 4.21355 1
31 32 1.44406 1
31 33 2.407 1
31 34 2.75753 1
31 35 4.1587 1
31 36 4.67323 1
31 37 4.32165 1
31 40 4.92016 1
32 33 1.53283 1
32 34 2.37872 1
32 35 3.80211 1
32 36 4.37465 1
32 37 4.3741 1
32 40 4.64052 1
33 34 1.26602 1
33 35 2.41941 1
33 36 2.92985 1
33 37 3.19292 1
33 38 4.38085 1
33 39 4.47824 1
33 40 3.83129 1
33 41 4.59732 1
33 42 4.81152 1
33 43 3.99093 1
33 44 4.81405 1
34 35 1.49349 1
34 36 2.49368 1
34 37 2.86295 1
34 38 4.27729 1
34 39 4.76889 1
34 40 4.42853 1
34 43 4.73209 1
35 36 1.49846 1
35 37 2.3667 1
35 38 3.76549 1
35 39 4.41229 1
35 40 4.45548 1
35 43 4.57084 1
36 37 1.30532 1
36 38 2.42721 1
36 39 3.0288 1
36 40 3.33383 1
36 41 4.51792 1
36 42 4.6167 1
36 43 3.77526 1
36 44 4.49396 1
36 45 4.85847 1
36 46 4.19284 1
37 38 1.4752 1
37 39 2.48967 1
37 40 2.8403 1
37 41 4.24301 1
37 42 4.77224 1
37 43 4.23343 1
37 46 4.89573 1
38 39 1.54545 1
38 40 2.40774 1
38 41 3.78878 1
38 42 4.50312 1
38 43 4.31509 1
38 46 4.69251 1
39 40 1.27536 1
39 41 2.38206 1
39 42 3.09726 1
39 43 3.20134 1
39 44 4.42757 1
39 45 4.53083 1
39 46 3.87198 1
39 47 4.59644 1
39 48 4.89306 1
39 49 4.11014 1
39 50 4.98925 1
40 41 1.46254 1
40 42 2.51725 1
40 43 2.72868 1
40 44 4.15101 1
40 45 4.65236 1
40 46 4.29737 1
40 49 4.71782 1
41 42 1.55753 1
41 43 2.38907 1
41 44 3.76337 1
41 45 4.33847 1
41 46 4.30374 1
41 49 4.38714 1
41 50 4.94486 1
42 43 1.2853 1
42 44 2.3599 1
42 45 2.96413 1
42 46 3.23632 1
42 47 4.44391 1
42 48 4.51616 1
42 49 3.77183 1
42 50 4.50974 1
42 51 4.8647 1
42 52 4.14483 1
43 44 1.46189 1
43 45 2.43397 1
43 46 2.71069 1
43 47 4.14274 1
43 48 4.63851 1
43 49 4.20842 1
43 52 4.87225 1
44 45 1.54408 1
44 46 2.34098 1
44 47 3.78002 1
44 48 4.42326 1
44 49 4.36746 1
44 52 4.69354 1
45 46 1.19644 1
45 47 2.37187 1
45 48 3.01741 1
45 49 3.2685 1
45 50 4.47745 1
45 51 4.6484 1
45 52 3.89802 1
45 53 4.67946 1
45 54 4.87648 1
45 55 4.06358 1
45 56 4.84637 1
46 47 1.50212 1
46 48 2.48937 1
46 49 2.80036 1
46 50 4.19791 1
46 51 4.73136 1
46 52 4.28381 1
46 55 4.71033 1
47 48 1.51676 1
47 49 2.40954 1
47 50 3.77042 1
47 51 4.40854 1
47 52 4.30884 1
47 55 4.51772 1
47 58 4.27088 1
47 59 4.82289 1
47 60 4.70681 1
48 49 1.31969 1
48 50 2.40033 1
48 51 3.01503 1
48 52 3.2005 1
48 53 4.38321 1
48 54 4.57875 1
48 55 3.87799 1
48 56 4.67797 1
48 57 4.69062 1
48 58 3.72146 1
48 59 4.33549 1
48 60 4.69416 1
49 50 1.45057 1
49 51 2.45907 1
49 52 2.74061 1
49 53 4.12364 1
49 54 4.75547 1
49 55 4.37686 1
49 58 4.77159 1
50 51 1.50546 1
50 52 2.37384 1
50 53 3.70569 1
50 54 4.54484 1
50 55 4.53723 1
51 52 1.29762 1
51 53 2.34909 1
51 54 3.22269 1
51 55 3.52052 1
51 56 4.77692 1
51 58 4.5361 1
52 53 1.41946 1
52 54 2.49645 1
52 55 2.82217 1
52 56 4.2249 1
52 57 4.96771 1
52 58 4.56496 1
53 54 1.5354 1
53 55 2.44989 1
53 56 3.80314 1
53 57 4.78811 1
53 58 4.72936 1
54 55 1.32813 1
54 56 2.41785 1
54 57 3.48213 1
54 58 3.71963 1
55 56 1.43165 1
55 57 2.52861 1
55 58 2.75778 1
55 59 4.21051 1
56 57 1.46473 1
56 58 2.29724 1
56 59 3.67806 1
56 60 4.33979 1
57 58 1.27156 1
57 59 2.36551 1
57 60 3.08403 1
57 61 4.28833 1
58 59 1.46499 1
58 60 2.41441 1
58 61 3.64083 1
58 62 4.83725 1
59 60 1.51757 1
59 61 2.42138 1
59 62 3.79161 1
59 63 4.80027 1
59 64 4.657 1
60 61 1.33436 1
60 62 2.42433 1
60 63 3.52842 1
60 64 3.63487 1
61 62 1.4594 1
61 63 2.54763 1
61 64 2.81548 1
61 65 4.28995 1
61 67 4.87974 1
62 63 1.51433 1
62 64 2.41011 1
62 65 3.80433 1
62 66 4.4148 1
62 67 4.15018 1
63 64 1.31046 1
63 65 2.43143 1
63 66 3.03784 1
63 67 3.06943 1
63 68 4.36702 1
63 69 4.60954 1
63 70 4.89306 1
64 65 1.48175 1
64 66 2.4565 1
64 67 2.69353 1
64 68 4.15758 1
64 69 4.75796 1
65 66 1.44619 1
65 67 2.35522 1
65 68 3.73954 1
65 69 4.74651 1
66 67 1.32605 1
66 68 2.43752 1
66 69 3.61562 1
66 70 4.17163 1
67 68 1.47804 1
67 69 2.45728 1
67 70 3.26247 1
67 71 4.53784 1
68 69 1.52223 1
68 70 2.43189 1
68 71 3.80879 1
68 72 4.4741 1
68 73 4.16742 1
68 76 4.84312 1
69 70 1.33309 1
69 71 2.43627 1
69 72 3.09031 1
69 73 3.07164 1
69 74 4.34493 1
69 75 4.5993 1
69 76 3.89308 1
69 77 4.7765 1
69 79 4.74132 1
70 71 1.46235 1
70 72 2.44395 1
70 73 2.69647 1
70 74 4.13603 1
70 75 4.74497 1
70 76 4.37997 1
71 72 1.50374 1
71 73 2.47967 1
71 74 3.8374 1
71 75 4.42103 1
71 76 4.28688 1
71 79 4.49618 1
71 107 4.88275 1
72 73 1.38618 1
72 74 2.47813 1
72 75 3.0967 1
72 76 3.28448 1
72 77 4.47829 1
72 78 4.55599 1
72 79 3.83007 1
72 80 4.50556 1
72 81 4.83833 1
72 82 4.06456 1
72 83 4.96349 1
72 107 4.22841 1
73 74 1.45192 1
73 75 2.39761 1
73 76 2.69223 1
73 77 4.1016 1
73 78 4.60245 1
73 79 4.24142 1
73 82 4.72784 1
73 107 4.82074 1
74 75 1.50957 1
74 76 2.43619 1
74 77 3.80575 1
74 78 4.36299 1
74 79 4.35975 1
74 82 4.47981 1
74 107 4.95006 1
75 76 1.31524 1
75 77 2.43018 1
75 78 3.00064 1
75 79 3.30776 1
75 80 4.5077 1
75 81 4.52368 1
75 82 3.87017 1
75 83 4.57121 1
75 84 4.81339 1
75 85 4.06391 1
75 86 4.90544 1
76 77 1.452 1
76 78 2.40955 1
76 79 2.73885 1
76 80 4.16365 1
76 81 4.60563 1
76 82 4.28736 1
76 85 4.73274 1
77 78 1.51702 1
77 79 2.39043 1
77 80 3.82223 1
77 81 4.37916 1
77 82 4.45274 1
77 85 4.56759 1
78 79 1.31694 1
78 80 2.48193 1
78 81 2.98853 1
78 82 3.35083 1
78 83 4.51248 1
78 84 4.6023 1
78 85 3.74752 1
78 86 4.49963 1
78 88 4.90333 1
79 80 1.49232 1
79 81 2.45395 1
79 82 2.85102 1
79 83 4.2455 1
79 84 4.74473 1
79 85 4.22328 1
80 81 1.55492 1
80 82 2.44884 1
80 83 3.83593 1
80 84 4.49529 1
80 85 4.32358 1
81 82 1.32752 1
81 83 2.43848 1
81 84 3.04198 1
81 85 3.1339 1
81 86 4.3764 1
81 87 4.68308 1
81 88 3.89538 1
81 89 4.88778 1
81 91 4.9767 1
82 83 1.46544 1
82 84 2.47673 1
82 85 2.75781 1
82 86 4.19955 1
82 87 4.83456 1
82 88 4.35333 1
83 84 1.49471 1
83 85 2.40659 1
83 86 3.79075 1
83 87 4.3875 1
83 88 4.09576 1
83 91 4.54605 1
83 105 4.82658 1
83 106 4.94785 1
84 85 1.33068 1
84 86 2.44309 1
84 87 2.996 1
84 88 2.98288 1
84 89 4.26158 1
84 90 4.52687 1
84 91 3.77051 1
84 92 4.65722 1
84 93 4.85207 1
85 86 1.47016 1
85 87 2.47603 1
85 88 2.72802 1
85 89 4.17936 1
85 90 4.87569 1
85 91 4.43152 1
86 87 1.5278 1
86 88 2.46257 1
86 89 3.80846 1
86 90 4.74699 1
86 91 4.5062 1
87 88 1.36666 1
87 89 2.41749 1
87 90 3.4359 1
87 91 3.45203 1
87 92 4.862 1
88 89 1.46275 1
88 90 2.50755 1
88 91 2.72553 1
88 92 4.19539 1
88 93 4.85864 1
89 90 1.53023 1
89 91 2.42434 1
89 92 3.83843 1
89 93 4.69711 1
90 91 1.32729 1
90 92 2.46709 1
90 93 3.52133 1
90 94 3.9574 1
91 92 1.48961 1
91 93 2.41111 1
91 94 3.17765 1
91 95 4.46337 1
92 93 1.52525 1
92 94 2.48608 1
92 95 3.83778 1
92 96 4.43049 1
93 94 1.38612 1
93 95 2.46678 1
93 96 2.98567 1
93 97 3.9071 1
93 98 4.95853 1
93 99 4.93858 1
93 100 4.03693 1
93 101 4.68221 1
94 95 1.44156 1
94 96 2.49533 1
94 97 3.55914 1
94 98 4.83128 1
94 100 4.59973 1
95 96 1.52347 1
95 97 2.39282 1
95 98 3.79356 1
95 99 4.52304 1
95 100 4.20614 1
96 97 1.36335 1
96 98 2.44872 1
96 99 3.15655 1
96 100 3.1026 1
96 101 4.45889 1
97 98 1.49482 1
97 99 2.55355 1
97 100 2.76026 1
97 101 4.27701 1
97 102 4.94844 1
98 99 1.50285 1
98 100 2.39135 1
98 101 3.81366 1
98 102 4.64026 1
99 100 1.32198 1
99 101 2.4485 1
99 102 3.43648 1
99 103 4.27338 1
100 101 1.52509 1
100 102 2.43645 1
100 103 3.53614 1
100 104 4.7451 1
101 102 1.52162 1
101 103 2.42702 1
101 104 3.7984 1
101 105 4.54522 1
102 103 1.33889 1
102 104 2.43098 1
102 105 3.25776 1
102 106 4.40009 1
103 104 1.45756 1
103 105 2.41787 1
103 106 3.63379 1
103 107 4.84328 1
103 112 4.5378 1
103 113 4.6404 1
103 115 4.81275 1
104 105 1.49674 1
104 106 2.39999 1
104 107 3.78667 1
104 108 4.32921 1
104 109 4.35189 1
104 112 4.43722 1
104 113 4.97492 1
105 106 1.33788 1
105 107 2.42928 1
105 108 2.94424 1
105 109 3.25354 1
105 110 4.2993 1
105 111 4.40118 1
105 112 3.72229 1
105 113 4.43897 1
105 114 4.77893 1
105 115 4.03444 1
105 116 4.96402 1
106 107 1.49497 1
106 108 2.4664 1
106 109 2.88935 1
106 110 4.14764 1
106 111 4.68475 1
106 112 4.34444 1
106 115 4.80138 1
107 108 1.47066 1
107 109 2.44502 1
107 110 3.69079 1
107 111 4.35595 1
107 112 4.39089 1
107 115 4.52677 1
108 109 1.34496 1
108 110 2.37028 1
108 111 3.01723 1
108 112 3.33424 1
108 113 4.50526 1
108 114 4.58574 1
108 115 3.77738 1
108 116 4.51528 1
108 117 4.88886 1
108 118 4.14445 1
109 110 1.31065 1
109 111 2.36931 1
109 112 2.78561 1
109 113 4.16934 1
109 114 4.66033 1
109 115 4.20932 1
109 118 4.75823 1
110 111 1.54069 1
110 112 2.43784 1
110 113 3.80698 1
110 114 4.40328 1
110 115 4.27788 1
110 118 4.5399 1
111 112 1.30304 1
111 113 2.42107 1
111 114 3.00086 1
111 115 3.18913 1
111 116 4.38156 1
111 117 4.50786 1
111 118 3.82959 1
111 119 4.63409 1
111 120 4.97148 1
111 121 4.2017 1
112 113 1.43326 1
112 114 2.42142 1
112 115 2.73478 1
112 116 4.14324 1
112 117 4.69061 1
112 118 4.35272 1
112 121 4.91243 1
113 114 1.5226 1
113 115 2.42842 1
113 116 3.79345 1
113 117 4.46373 1
113 118 4.49627 1
113 121 4.76817 1
114 115 1.33945 1
114 116 2.42214 1
114 117 3.09218 1
114 118 3.42821 1
114 119 4.62272 1
114 120 4.6942 1
114 121 4.03227 1
114 122 4.75572 1
114 124 4.18594 1
115 116 1.45539 1
115 117 2.50414 1
115 118 2.85717 1
115 119 4.23739 1
115 120 4.7284 1
115 121 4.40152 1
115 124 4.8611 1
116 117 1.57831 1
116 118 2.46932 1
116 119 3.79917 1
116 120 4.39022 1
116 121 4.4399 1
116 124 4.60569 1
117 118 1.32921 1
117 119 2.37512 1
117 120 2.92578 1
117 121 3.27023 1
117 122 4.44369 1
117 123 4.53529 1
117 124 3.82027 1
117 125 4.5907 1
117 126 4.8933 1
117 127 4.06029 1
117 128 4.86895 1
118 119 1.41836 1
118 120 2.40864 1
118 121 2.78652 1
118 122 4.1963 1
118 123 4.71294 1
118 124 4.34012 1
118 127 4.81325 1
119 120 1.54214 1
119 121 2.44478 1
119 122 3.82702 1
119 123 4.45811 1
119 124 4.4495 1
119 127 4.61405 1
120 121 1.32866 1
120 122 2.42918 1
120 123 3.02924 1
120 124 3.30954 1
120 125 4.50047 1
120 126 4.58076 1
120 127 3.81383 1
120 128 4.51018 1
120 129 4.9087 1
120 130 4.22476 1
121 122 1.47276 1
121 123 2.49918 1
121 124 2.86134 1
121 125 4.27078 1
121 126 4.76654 1
121 127 4.33301 1
121 130 4.91613 1
122 123 1.52778 1
122 124 2.44908 1
122 125 3.8151 1
122 126 4.42192 1
122 127 4.36661 1
122 130 4.61738 1
123 124 1.34889 1
123 125 2.43316 1
123 126 3.02348 1
123 127 3.27191 1
123 128 4.45571 1
123 129 4.55016 1
123 130 3.84225 1
123 131 4.61794 1
123 132 4.97226 1
123 133 4.27039 1
124 125 1.46089 1
124 126 2.47015 1
124 127 2.77235 1
124 128 4.1651 1
124 129 4.68356 1
124 130 4.33861 1
124 133 4.86108 1
125 126 1.54165 1
125 127 2.42174 1
125 128 3.78539 1
125 129 4.37313 1
125 130 4.37923 1
125 133 4.4658 1
126 127 1.33706 1
126 128 2.42113 1
126 129 2.951 1
126 130 3.24968 1
126 131 4.43671 1
126 132 4.46784 1
126 133 3.59997 1
126 134 4.32401 1
126 135 4.75825 1
126 136 4.14134 1
127 128 1.43628 1
127 129 2.4314 1
127 130 2.81868 1
127 131 4.24149 1
127 132 4.68466 1
127 133 4.16084 1
127 136 4.8623 1
128 129 1.55938 1
128 130 2.48638 1
128 131 3.88599 1
128 132 4.43956 1
128 133 4.24839 1
128 136 4.62317 1
129 130 1.33899 1
129 131 2.47133 1
129 132 3.00076 1
129 133 3.11094 1
129 134 4.31394 1
129 135 4.50198 1
129 136 3.87672 1
129 137 4.65831 1
129 138 4.92789 1
129 139 4.25511 1
130 131 1.48068 1
130 132 2.42904 1
130 133 2.70339 1
130 134 4.12614 1
130 135 4.73028 1
130 136 4.44281 1
130 139 4.94589 1
131 132 1.49581 1
131 133 2.41685 1
131 134 3.79015 1
131 135 4.50253 1
131 136 4.5602 1
131 139 4.70934 1
132 133 1.339 1
132 134 2.44135 1
132 135 3.1531 1
132 136 3.48322 1
132 137 4.70306 1
132 138 4.80719 1
132 139 3.91519 1
132 140 4.65947 1
132 142 4.56717 1
133 134 1.46082 1
133 135 2.49158 1
133 136 2.84004 1
133 137 4.24542 1
133 138 4.76354 1
133 139 4.20696 1
134 135 1.52513 1
134 136 2.39748 1
134 137 3.79485 1
134 138 4.46648 1
134 139 4.20976 1
134 142 4.74381 1
134 144 4.96902 1
135 136 1.27122 1
135 137 2.42307 1
135 138 3.08976 1
135 139 3.12563 1
135 140 4.40046 1
135 141 4.65243 1
135 142 3.92029 1
135 143 4.77716 1
135 144 4.31796 1
135 145 4.61651 1
135 146 4.97954 1
136 137 1.45462 1
136 138 2.44177 1
136 139 2.68633 1
136 140 4.14154 1
136 141 4.76524 1
136 142 4.37063 1
137 138 1.51026 1
137 139 2.43038 1
137 140 3.82448 1
137 141 4.51814 1
137 142 4.42886 1
138 139 1.3328 1
138 140 2.45713 1
138 141 3.18986 1
138 142 3.41953 1
138 143 4.65493 1
138 144 4.90072 1
138 145 4.8981 1
139 140 1.48068 1
139 141 2.48847 1
139 142 2.7724 1
139 143 4.18757 1
139 144 4.70955 1
140 141 1.52911 1
140 142 2.43628 1
140 143 3.80927 1
140 144 4.77187 1
141 142 1.33097 1
141 143 2.43291 1
141 144 3.60246 1
141 145 4.10908 1
142 143 1.45344 1
142 144 2.42333 1
142 145 3.17629 1
142 146 4.52312 1
143 144 1.52152 1
143 145 2.44183 1
143 146 3.83109 1
143 147 4.37309 1
143 148 4.96601 1
144 145 1.34068 1
144 146 2.46247 1
144 147 2.93707 1
144 148 3.48567 1
144 149 4.59952 1
145 146 1.47133 1
145 147 2.48229 1
145 148 3.3775 1
145 149 4.68094 1
146 147 1.49613 1
146 148 2.43154 1
146 149 3.82241 1
146 150 4.4128 1
147 148 1.30746 1
147 149 2.45497 1
147 150 3.02644 1
148 149 1.46794 1
148 150 2.42823 1
149 150 1.47268 1
;
